ticker,order,aic,train_size,model_path
AAPL,"(1, 0, 1)",-10826.429510430058,2087,../../data/arima/models/AAPL_arima_model.pkl
ADBE,"(1, 0, 1)",-10261.167468370679,2087,../../data/arima/models/ADBE_arima_model.pkl
AMAT,"(2, 0, 1)",-9446.712090910662,2087,../../data/arima/models/AMAT_arima_model.pkl
AMD,"(2, 0, 1)",-7909.576832980607,2087,../../data/arima/models/AMD_arima_model.pkl
AMZN,"(1, 0, 1)",-10356.198350941286,2087,../../data/arima/models/AMZN_arima_model.pkl
ANET,"(1, 0, 1)",-9228.909419645472,2087,../../data/arima/models/ANET_arima_model.pkl
AVGO,"(2, 0, 1)",-10142.049781463473,2087,../../data/arima/models/AVGO_arima_model.pkl
CRM,"(1, 0, 1)",-10097.485827653447,2087,../../data/arima/models/CRM_arima_model.pkl
CSCO,"(1, 0, 1)",-11349.627534106281,2087,../../data/arima/models/CSCO_arima_model.pkl
DDOG,"(1, 0, 1)",-4649.104744825936,1252,../../data/arima/models/DDOG_arima_model.pkl
DELL,"(2, 0, 1)",-9067.778854730881,1897,../../data/arima/models/DELL_arima_model.pkl
GOOG,"(1, 0, 1)",-10993.471195025435,2087,../../data/arima/models/GOOG_arima_model.pkl
HPE,"(1, 0, 1)",-10015.570376928506,2071,../../data/arima/models/HPE_arima_model.pkl
HPQ,"(2, 0, 1)",-10024.33773447437,2087,../../data/arima/models/HPQ_arima_model.pkl
IBM,"(2, 0, 1)",-11587.251344265522,2087,../../data/arima/models/IBM_arima_model.pkl
INTC,"(1, 0, 1)",-10236.670774384693,2087,../../data/arima/models/INTC_arima_model.pkl
LRCX,"(2, 0, 1)",-9318.98162484713,2087,../../data/arima/models/LRCX_arima_model.pkl
MA,"(2, 1, 2)",-10983.757409032973,2087,../../data/arima/models/MA_arima_model.pkl
MDB,"(1, 0, 1)",-5948.326030421455,1652,../../data/arima/models/MDB_arima_model.pkl
META,"(2, 0, 1)",-9605.647274122093,2087,../../data/arima/models/META_arima_model.pkl
MSFT,"(1, 0, 1)",-11087.1223642767,2087,../../data/arima/models/MSFT_arima_model.pkl
MU,"(2, 0, 1)",-8928.763123937675,2087,../../data/arima/models/MU_arima_model.pkl
NFLX,"(2, 0, 1)",-9027.357165725745,2087,../../data/arima/models/NFLX_arima_model.pkl
NOW,"(1, 0, 1)",-9481.819905861179,2087,../../data/arima/models/NOW_arima_model.pkl
NVDA,"(1, 0, 1)",-8675.699634672346,2087,../../data/arima/models/NVDA_arima_model.pkl
ORCL,"(2, 1, 2)",-11207.506496654238,2087,../../data/arima/models/ORCL_arima_model.pkl
PYPL,"(1, 0, 1)",-9643.089802418344,2087,../../data/arima/models/PYPL_arima_model.pkl
QCOM,"(1, 0, 1)",-9793.012863575812,2087,../../data/arima/models/QCOM_arima_model.pkl
SHOP,"(2, 0, 1)",-7938.301856072178,2087,../../data/arima/models/SHOP_arima_model.pkl
SNOW,"(2, 0, 1)",-3847.9966295682993,1045,../../data/arima/models/SNOW_arima_model.pkl
TSLA,"(2, 0, 1)",-8031.585882398926,2087,../../data/arima/models/TSLA_arima_model.pkl
TXN,"(1, 0, 1)",-10971.647278329932,2087,../../data/arima/models/TXN_arima_model.pkl
V,"(1, 0, 1)",-11418.362483000696,2087,../../data/arima/models/V_arima_model.pkl
